,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
17,176.0,59.0,151.0,0.0,1406.0,0.0,0.0,818.0,258.0,0.0,1112.0,715.0,0.0,75.0,4616.0,18.0,9186.0,1598402.0,7148.0,456.0,4003.0,443.0,822.0,0.0,40.0,0.0,759.0,23.0,3311.0,66.0,35.0,6006.0,1421.0,3659.0,197.0,19245.0,2031.0,760.0,3418.0,0.0,0.0,1189.0,171.0,7.0,0.0,0.0,4453.0,1782.0,13.0,479.0,2661.0,0.0,8.0,843.0,1433.0,0.0,100.0,76.0,0.0
18,19.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,81.0,0.0,347.0,15.0,113.0,235.0,1024.0,464.0,0.0,1868.0,554889.0,615.0,234.0,1548.0,339.0,1.0,27.0,0.0,386.0,76.0,95.0,3404.0,28.0,990.0,167.0,2071.0,6516.0,11163.0,323.0,139.0,188.0,0.0,0.0,418.0,4.0,0.0,0.0,66.0,2196.0,164.0,30.0,67.0,433.0,0.0,0.0,11.0,29.0,0.0,0.0,25.0,0.0
19,33.0,2.0,3.0,0.0,55.0,0.0,50.0,8092.0,142.0,0.0,187.0,4.0,0.0,747.0,659.0,11.0,122.0,724.0,1089.0,992381.0,979.0,8304.0,1410.0,0.0,41.0,1610.0,0.0,47.0,25.0,412.0,748.0,2327.0,106.0,24094.0,134.0,10195.0,457.0,963.0,4509.0,2.0,0.0,2134.0,4.0,1.0,0.0,0.0,3571.0,850.0,6.0,252.0,1589.0,0.0,7.0,119.0,75.0,0.0,11.0,898.0,0.0
20,16.0,2.0,3.0,234.0,6.0,0.0,5373.0,1903.0,11.0,0.0,1.0,3.0,0.0,250.0,17.0,18.0,10401.0,33458.0,396.0,1351.0,3583623.0,49104.0,3075.0,0.0,5325.0,1.0,3.0,3756.0,1201.0,4557.0,3547.0,17190.0,741.0,2731.0,26.0,24172.0,266.0,1871.0,3680.0,988.0,0.0,1830.0,84.0,58.0,0.0,0.0,7350.0,1623.0,361.0,69.0,3037.0,0.0,20.0,546.0,262.0,0.0,114.0,105.0,0.0
21,57.0,1.0,0.0,0.0,136.0,0.0,0.0,133.0,862.0,0.0,60.0,24.0,2.0,756.0,160.0,283.0,0.0,500.0,1825.0,2630.0,17892.0,616479.0,15085.0,7.0,1660.0,7.0,401.0,3754.0,1908.0,887.0,350.0,1782.0,15.0,7216.0,184.0,12348.0,441.0,358.0,567.0,0.0,0.0,438.0,16.0,27.0,0.0,0.0,2488.0,252.0,16.0,3264.0,1670.0,0.0,15.0,72.0,49.0,0.0,52.0,71.0,0.0
22,95.0,5.0,1.0,10.0,1161.0,0.0,0.0,7.0,36.0,0.0,190.0,21.0,0.0,367.0,1.0,9.0,0.0,550.0,724.0,260.0,5983.0,19936.0,1165102.0,1546.0,17613.0,1776.0,1171.0,4021.0,4899.0,984.0,101.0,5483.0,135.0,13903.0,747.0,43008.0,592.0,777.0,869.0,29.0,0.0,515.0,66.0,3.0,0.0,0.0,5122.0,4073.0,302.0,1670.0,4777.0,0.0,57.0,228.0,84.0,0.0,57.0,82.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,310.0,46320.0,745.0,85.0,556.0,153.0,297.0,67.0,0.0,101.0,0.0,811.0,0.0,2323.0,128.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,1.0,2576.0,305.0,36.0,0.0,0.0,94.0,0.0,0.0,3.0,0.0,0.0
24,3.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,10.0,0.0,22.0,7.0,0.0,33.0,12.0,8.0,0.0,381.0,1345.0,973.0,2019.0,5493.0,9312.0,602.0,491114.0,3998.0,4060.0,1256.0,2518.0,61.0,886.0,1358.0,56.0,2954.0,483.0,10656.0,236.0,478.0,239.0,0.0,0.0,144.0,34.0,0.0,0.0,0.0,2137.0,178.0,356.0,781.0,2392.0,0.0,16.0,44.0,15.0,0.0,155.0,250.0,0.0
25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,9.0,0.0,64.0,195.0,304.0,36.0,596.0,1752.0,850.0,1730.0,254314.0,6943.0,344.0,244.0,280.0,0.0,918.0,22.0,385.0,90.0,2759.0,72.0,256.0,65.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,2234.0,98.0,81.0,8554.0,945.0,0.0,7.0,61.0,9.0,0.0,17.0,16.0,0.0
26,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,0.0,1.0,21.0,86.0,8.0,0.0,20.0,0.0,250.0,262.0,5.0,137.0,1244.0,3334.0,117.0,2391.0,1455.0,312462.0,811.0,4227.0,499.0,69.0,2294.0,211.0,1310.0,14.0,5440.0,1066.0,786.0,37.0,4.0,8.0,33.0,198.0,1.0,0.0,0.0,3103.0,363.0,365.0,8564.0,979.0,0.0,24.0,266.0,563.0,0.0,16.0,102.0,0.0
